year,quarter,monthsigned,market,building_name,building_id,address,region,city,state,zip,internal_submarket,internal_class,leasedsf,company_name,internal_industry,transaction_type,internal_market_cluster,costarid,space_type,cbd_suburban,rba,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing
2018,Q1,1.0,Baltimore,750 East Pratt,Baltimore_CBD_Baltimore_750 East Pratt_750 E Pratt St,750 E Pratt St,Northeast,Baltimore,MD,21202.0,CBD,A,26898.0,John Hopkins,"Business, Professional, and Consulting Services (except Financial and Legal) - Including Accounting",New,Baltimore City,140952,Relet,CBD,41033288.0,6813380.0,0.166045187507275,27.104834876275,22.9540342193405,,,,,,,,,380750.0
2018,Q1,1.0,Dallas/Ft Worth,Heritage Commons II,Dallas/Ft Worth_North Fort Worth_Fort Worth_Heritage Commons II_13601 North Fwy,13601 North Fwy,South,Fort Worth,TX,76177.0,North Fort Worth,O,59500.0,Charles Schwab,Financial Services and Insurance,New,Suburban Fort Worth,426121,Sublet,Suburban,,,,,,,,,,,,,,
2018,Q1,1.0,Denver,1125 Seventeenth Street,Denver_Central Business District_Denver_1125 Seventeenth Street_1125 17th St,1125 17th St,Midwest/Central,Denver,CO,80202.0,Central Business District,A,40845.0,Xactly,"Technology, Advertising, Media, and Information",New,Downtown Denver,393791,Relet,CBD,,,,,,,,,,,,,,
2018,Q1,1.0,Denver,Wells Fargo Center,Denver_Central Business District_Denver_Wells Fargo Center_1700 Lincoln St,1700 Lincoln St,Midwest/Central,Denver,CO,80203.0,Central Business District,A,23878.0,Spencer Fane,Legal Services,New,Downtown Denver,393555,Relet,CBD,,,,,,,,,,,,,,
2018,Q1,1.0,Detroit,Brown Street Centre,Detroit_Birmingham Area_Birmingham_Brown Street Centre_255 E Brown St,255 E Brown St,Midwest/Central,Birmingham,MI,48009.0,Birmingham Area,A,26017.0,Wells Fargo,Financial Services and Insurance,TBD,Suburban Detroit,455176,,Suburban,34423167.0,6565982.0,0.190743112044281,20.9981865703684,18.7494093179193,,,,,,,,,435687.0
2018,Q1,1.0,Los Angeles,Building 2,Los Angeles_Marina/Playa Vista_Playa Vista_Building 2_12105 W Bluff Creek Dr,12105 W Bluff Creek Dr,West,Playa Vista,CA,90094.0,Marina/Playa Vista,O,19140.0,72andsunny,"Technology, Advertising, Media, and Information",Renewal,Westside,8052706,Relet,Suburban,68338197.0,14154981.0,0.207131320716583,31.902391809038,36.9589964321819,,,,,,,,,834899.0
2018,Q1,1.0,Los Angeles,Comerica Bank Building,Los Angeles_Central San Fernando Valley_Sherman Oaks_Comerica Bank Building_15303 Ventura Blvd,15303 Ventura Blvd,West,Sherman Oaks,CA,91403.0,Central San Fernando Valley,A,20000.0,Genesis Capital,Financial Services and Insurance,New,San Fernando Valley,247171,Relet,Suburban,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0
2018,Q1,1.0,Los Angeles,The Tower,Los Angeles_Burbank_Burbank_The Tower_3900 W Alameda Ave,3900 W Alameda Ave,West,Burbank,CA,91505.0,Burbank,A,19092.0,Stalwart Films,"Technology, Advertising, Media, and Information",New,Tri-Cities,248390,Relet,CBD,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0
2018,Q1,1.0,Los Angeles,,Los Angeles_West San Fernando Valley_Simi Valley_NA_1757 Tapo Canyon Rd,1757 Tapo Canyon Rd,West,Simi Valley,CA,93063.0,West San Fernando Valley,O,179357.0,Countrywide Financial,Financial Services and Insurance,Renewal,San Fernando Valley,605187,Relet,Suburban,68338197.0,14154981.0,0.207131320716583,31.902391809038,36.9589964321819,,,,,,,,,834899.0
2018,Q1,1.0,Los Angeles,,Los Angeles_West San Fernando Valley_Calabasas_NA_24025 Park Sorrento,24025 Park Sorrento,West,Calabasas,CA,91302.0,West San Fernando Valley,A,10000.0,The Law Offices Of Gerald L. Marcus,Legal Services,Renewal,San Fernando Valley,251155,,Suburban,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0
